Model,Lead_5th_ms_mean,Lead_5th_ms_ci95_low,Lead_5th_ms_ci95_high,Lead_median_ms_mean,Lead_median_ms_ci95_low,Lead_median_ms_ci95_high,Lead_IQR_ms_mean,Lead_IQR_ms_ci95_low,Lead_IQR_ms_ci95_high,Lead_95th_ms_mean,Lead_95th_ms_ci95_low,Lead_95th_ms_ci95_high,Lead_mean_ms_mean,Lead_mean_ms_ci95_low,Lead_mean_ms_ci95_high,Lead_norm_mean_mean,Lead_norm_mean_ci95_low,Lead_norm_mean_ci95_high
FANET-TopoGNN,0.0,0.0,0.0,600.0000000000001,600.0000000000001,600.0000000000001,400.00000000000017,173.67869447766685,626.3213055223334,600.0000000000001,600.0000000000001,600.0000000000001,411.40448696106176,350.45444426972904,472.3545296523945,4.0792982127008015,3.455298914024439,4.703297511377164
PI+MLP,0.0,0.0,0.0,600.0000000000001,600.0000000000001,600.0000000000001,266.66666666666674,0.0,612.3781713124399,600.0000000000001,600.0000000000001,600.0000000000001,449.267806564737,359.78038870777016,538.7552244217038,4.457906554334709,3.556870581604601,5.358942527064817
Shallow ML,0.0,0.0,0.0,566.6666666666666,501.3333333333332,632.0,333.3333333333334,72.00000000000006,594.6666666666667,600.0000000000001,600.0000000000001,600.0000000000001,413.98769934874434,334.06039070969774,493.91500798779094,4.105508127693951,3.3029023037147036,4.908113951673198
T-GCN (w=5),0.0,0.0,0.0,566.6666666666666,501.3333333333332,632.0,433.3333333333335,106.6666666666668,760.0000000000002,600.0000000000001,600.0000000000001,600.0000000000001,411.79761026961705,325.6042486311832,497.9909719080509,4.086995515348227,3.219801044413555,4.954189986282899
GAT,0.0,0.0,0.0,533.3333333333334,402.66666666666663,664.0000000000001,433.3333333333335,106.6666666666668,760.0000000000002,600.0000000000001,600.0000000000001,600.0000000000001,394.0120648785219,291.78687186721504,496.2372578898288,3.9112102778311573,2.8826165961261427,4.939803959536172
GraphSAGE,0.0,0.0,0.0,533.3333333333334,467.99999999999994,598.6666666666667,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,370.8151433109868,333.93608070041375,407.69420592155984,3.674536973086695,3.2915803841549334,4.057493562018457
STGCN (w=5),0.0,0.0,0.0,433.3333333333334,260.4775810104468,606.1890856562201,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,322.0072443475163,258.8838206947787,385.1306680002539,3.1928426254993476,2.554975969512215,3.83070928148648
GCN,0.0,0.0,0.0,400.0,173.67869447766662,626.3213055223334,566.6666666666669,501.33333333333354,632.0000000000002,600.0000000000001,600.0000000000001,600.0000000000001,339.8776207573092,266.30376201080503,413.4514795038134,3.373192752801561,2.6298566929157894,4.116528812687333
TGN (w=5),0.0,0.0,0.0,333.33333333333337,0.0,679.0448379791067,433.3333333333335,106.6666666666668,760.0000000000002,600.0000000000001,600.0000000000001,600.0000000000001,346.5763273368794,189.09035819564775,504.062296478111,3.4390225795927862,1.859090215501625,5.018954943683948
FANET-TopoGNN (concat),0.0,0.0,0.0,333.3333333333333,97.77065000301934,568.8960166636473,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,314.7016617348329,265.90588611651253,363.49743735315326,3.115629873867279,2.613420820771273,3.6178389269632856
Kinetic-TopoGuard,0.0,0.0,0.0,233.33333333333334,0.0,468.8960166636473,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,287.76708441351985,262.835079439259,312.6990893877807,2.845725001030494,2.5827625879641074,3.108687414096881
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
