Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.3164511759871923,0.39099721878161015,0.66784953448505,0.30457123983667994,0.32667094638579036,0.6390307857997307,0.6881839883511945,5.238304527778786,0.4432479000646134,0.997093023255814,0.6136871924854629,0.496690031152648,0.6401388888888889,0.9405039799041398,0.9675741346989785,0.0684107278290973,0.10924321803239334,2585.0,215.41666666666666,27,scikit_learn
Union-Find detection oracle,0.3273611111111111,0.5768055555555556,0.5100061468815797,0.3132986111111111,0.3419513888888889,0.47309739072511114,0.5407532098615866,0.20535269444533494,0.8102224325603408,0.8294573643410853,0.8197270768494135,0.9219236760124611,0.8954166666666666,0.7881947622308085,0.8756905201767732,0.10458333333333333,0.10458333333333333,401.0,33.416666666666664,27,diagnostic_reference
Shallow ML (GBR),0.3469585341692084,0.4237590333844846,0.6400185130640581,0.335652039746354,0.35800867601741304,0.6157032454266143,0.6636766535098828,0.028824305554735474,0.28916000560931143,0.999031007751938,0.44850462207721586,0.013045171339563863,0.2956944444444444,0.2772278908160192,0.5060380895457509,0.7043055555555555,0.7043055555555556,5069.0,422.4166666666667,27,scikit_learn
GraphSAGE,0.43690291327734787,0.5139586794576334,0.5633942994038221,0.4253991086098055,0.45030540643922157,0.544747396109399,0.578337926182657,0.04861015622736886,0.3836336336336336,0.9903100775193798,0.553030303030303,0.3605919003115265,0.5411111111111111,0.39356424448076877,0.6754509889154532,0.4588888888888889,0.45888888888888885,3284.0,273.6666666666667,27,pytorch
tgcn:5,0.44172775840002393,0.5482871193459812,0.5254987772121835,0.4307669722857355,0.4557592364180149,0.5035211656240154,0.5461888606993528,0.21351015618620295,0.3235958683021304,0.9985059760956175,0.48878595806923447,0.169770206022187,0.40561224489795916,0.6804724404206064,0.5841380910589022,0.5943877551020408,0.5943877551020408,4191.0,356.3775510204082,27,pytorch
PI+MLP,0.470938929716746,0.7400485065996196,0.3713319579697524,0.45262171578945387,0.4895448166649375,0.35135347170211295,0.3862732658241846,0.05137109383213101,0.3387366310160428,0.9820736434108527,0.503727634194831,0.22955607476635514,0.4452777777777778,0.33307812015935634,0.6058148590886039,0.5547222222222222,0.5547222222222222,3957.0,329.75,27,pytorch
FANET-TopoGNN (concat),0.48380533499850165,0.5453034200578886,0.5367670762888792,0.4720432625460542,0.4982952442461004,0.5194361252569529,0.5509448465970318,0.11623984369180107,0.4239468769454244,0.9898255813953488,0.5936364957140782,0.45950155763239875,0.6115277777777778,0.4397028372432303,0.7246635695138739,0.3884722222222222,0.3884722222222222,2776.0,231.33333333333334,27,pytorch
FANET-TopoGNN,0.5090676995201243,0.6171141154156907,0.4757641976331908,0.4958822468450914,0.5229098704931223,0.46102856436957657,0.4880466059700909,0.16533359371351253,0.3573907009021513,0.998062015503876,0.5263157894736843,0.278816199376947,0.485,0.3571645350720727,0.6384391074404114,0.515,0.515,3704.0,308.6666666666667,27,pytorch
GAT,0.5113942471146583,0.6818273765411788,0.42079055901038753,0.49847859942561223,0.5264202196997486,0.38483824119279986,0.45329679691047503,0.09503593742010708,0.3441275167785235,0.9937015503875969,0.5112163509471586,0.2389018691588785,0.4552777777777778,0.34512607576563503,0.6163017097732377,0.5447222222222222,0.5447222222222221,3909.0,325.75,27,pytorch
GCN,0.5314888935701715,0.6690180573017801,0.43167202093370693,0.5178707946334035,0.5460215737238112,0.4120721205578016,0.44849165603238755,0.1096234375381755,0.41323320478993303,0.9864341085271318,0.5824631669289086,0.43711059190031154,0.5945833333333334,0.43553001614286224,0.7117723502137216,0.40541666666666665,0.40541666666666665,2891.0,240.91666666666666,27,pytorch
stgcn:5,0.5345337224148569,0.6316945607630255,0.4533159161790815,0.5216270152998923,0.5475437844450883,0.43221094737554316,0.4712456274007783,0.3763671874139618,0.39611033935304624,0.9940239043824701,0.5664821910032638,0.39718700475435814,0.5670351473922902,0.7034464994839495,0.6956054545684142,0.4329648526077097,0.4329648526077097,3043.0,258.75850340136054,27,pytorch
tgn:5,0.5437303950287857,0.7441212076969352,0.3560191175460803,0.5297103299041301,0.5591856053705135,0.32649735568984845,0.3838018368781569,0.17434531241633522,0.3904966757919437,0.9945219123505976,0.5607975287840494,0.38252773375594296,0.5566893424036281,0.7008800614116222,0.6885248230532703,0.4433106575963719,0.44331065759637184,3117.0,265.05102040816325,27,pytorch
