Threshold,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,False_Alarms,False_Alarms_per_minute,seed,Model,Model_Backend
0.1,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.2,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.3,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.4,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.5,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.6,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.7,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.8,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.9,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,498.0,41.5,7,Union-Find detection oracle,diagnostic_reference
0.1,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.2,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.3,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.4,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.5,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.6,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.7,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.8,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.9,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,4432.0,369.3333333333333,7,Shallow ML (MLP),scikit_learn
0.1,0.2433892522035826,1.0,0.39149325405899843,0.030247813411078718,0.2608333333333333,5322.0,443.5,7,Kinetic-TopoGuard,scikit_learn
0.2,0.40334747760490336,0.9994158878504673,0.5747396708095398,0.5388119533527697,0.6483333333333333,2531.0,210.91666666666666,7,Kinetic-TopoGuard,scikit_learn
