Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Union-Find detection oracle,0.2922222222222222,0.5055555555555555,0.4232288252486335,0.2765138888888889,0.30750694444444443,0.3764913735414676,0.4770998116598638,0.22921130555510502,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333,0.6962930498139961,0.8179460368927278,0.13416666666666666,0.13416666666666666,498.0,41.5,7,diagnostic_reference
Kinetic-TopoGuard,0.316712222461239,0.3274858093321085,0.6263825550184747,0.3069808355197764,0.3268696309287276,0.6004313662153351,0.6492422019361582,5.565401666665112,0.36520811099252937,0.9994158878504673,0.5349382523057684,0.45809037900874633,0.5868055555555556,0.8754070416924952,0.9500148795332553,0.10376534802271145,0.16607926164025857,2974.0,247.83333333333334,7,scikit_learn
Shallow ML,0.3504489091866546,0.33968385887615604,0.6124662142961097,0.3401065803315077,0.36194329583976004,0.5893032673405715,0.6387611606405266,0.029075999999703433,0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224,0.2205925039860251,0.5915370153401815,0.6177777777777778,0.6177777777777778,4432.0,369.3333333333333,7,scikit_learn
T-GCN (w=5),0.38408755037147985,0.4401914274721228,0.49419967193894276,0.37205152929699276,0.39690136509058394,0.47557663211996515,0.5153916532942878,0.18348046864957723,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285,0.714593914087863,0.5214007782101167,0.7321428571428571,0.7321428571428571,5166.0,439.2857142857143,7,pytorch
STGCN (w=5),0.38800202163101055,0.45232621612273327,0.48025623802048234,0.3757987402440756,0.39983486877331964,0.46009167322128525,0.5041561182642021,0.1310546875856744,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805,0.7482265472139685,0.6361375166231591,0.5534297052154195,0.5534297052154196,3895.0,331.2074829931973,7,pytorch
FANET-TopoGNN,0.3883180623087618,0.38605262148302344,0.5595656667961599,0.37804611514094805,0.4012610609260284,0.5327281947485404,0.5866533497984859,0.20445078121156257,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,0.20184195788546155,0.5597667638483965,0.6711111111111111,0.6711111111111111,4832.0,402.6666666666667,7,pytorch
GraphSAGE,0.3978837053063843,0.44517033511262116,0.4921202737744409,0.3871399793032971,0.4096056143707699,0.4712471881456239,0.5120995976699728,0.06305781244009268,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775,0.24923126087769634,0.6430930015530912,0.5434722222222222,0.5434722222222222,3911.0,325.9166666666667,7,pytorch
FANET-TopoGNN (concat),0.40330693191124334,0.4215416153075143,0.5190774782401026,0.392451927660654,0.41562905453455945,0.49058874719206547,0.5466932435714364,0.11131406245112885,0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889,0.28757509266517517,0.6793462712187679,0.4836111111111111,0.48361111111111116,3465.0,288.75,7,pytorch
GAT,0.4082119631436136,0.464677676644511,0.4698650099008985,0.3982176599589487,0.422340519450191,0.44646879856225424,0.49253306380753387,0.10953359378618188,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778,0.18796450017009003,0.5245991253644315,0.7247222222222223,0.7247222222222223,5218.0,434.8333333333333,7,pytorch
TGN (w=5),0.4102783662324049,0.47513641033995907,0.4540462689066701,0.397530887153025,0.4233410769097862,0.42708355263963427,0.480503072611909,0.2594179687775977,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762,0.7039016268369183,0.5,0.7648809523809523,0.7648809523809523,5397.0,458.92857142857144,7,pytorch
GCN,0.4320739576882786,0.5133054359588497,0.414387249727861,0.42108031123959355,0.44547597202120554,0.3922584858114559,0.43463231151051906,0.0617687500152897,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778,0.2358025847600681,0.6207690185553527,0.5759722222222222,0.5759722222222222,4140.0,345.0,7,pytorch
PI+MLP,0.43721880126330587,0.5248173487017254,0.401253699194434,0.4238849853641457,0.45184034196908274,0.3813564613723125,0.4176432159722331,0.021012499928474426,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075,0.19500961320808186,0.5431238249638974,0.6925,0.6924999999999999,4973.0,414.4166666666667,7,pytorch
Union-Find detection oracle,0.29388888888888887,0.4938888888888889,0.19956291593297226,0.2810694444444444,0.3093090277777778,0.1449907332712679,0.2611888141789502,0.19436133333227992,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170153,0.8580555555555556,0.5310514495462612,0.7834785193314585,0.14194444444444446,0.14194444444444443,521.0,43.416666666666664,17,diagnostic_reference
Kinetic-TopoGuard,0.29388888888888887,0.4938888888888889,0.19956291593297226,0.27874652777777775,0.3073680555555555,0.1314946890845148,0.2575173589043551,4.959064833332781,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778,0.7940414601328735,0.9366873775826722,0.09833973642900734,0.13164163990567254,2725.0,227.08333333333334,17,scikit_learn
STGCN (w=5),0.3352965800737848,0.3857949141916936,0.3656548387675518,0.32350163788084874,0.34489072576300356,0.3338313221874531,0.3980584048473556,0.17171562501516746,0.3385272681578286,0.9532908704883227,0.49962908011869434,0.5335814283182704,0.6176303854875284,0.3334721786543082,0.7434361494032966,0.38236961451247165,0.38236961451247165,2632.0,223.80952380952382,17,pytorch
Shallow ML,0.3519838931163152,0.3544386848804592,0.42556742257448776,0.3411604185222338,0.3633946894707365,0.3918047893748889,0.45018297594173906,0.02526705555485225,0.2959005669428696,0.9269125683060109,0.44859504132231404,0.43706415620641564,0.5366666666666666,0.24774849029564958,0.6819883622562133,0.4633333333333333,0.4633333333333333,3229.0,269.0833333333333,17,scikit_learn
TGN (w=5),0.36805387498502556,0.5403214614379923,0.11157381301576785,0.35442188869583124,0.3815509515787029,0.04458023874043606,0.16124217363512627,0.16409687498253334,0.3817282513820192,0.9285208775654635,0.5410309278350516,0.6234272550062023,0.6845238095238095,0.35932743673107387,0.775974066285833,0.31547619047619047,0.31547619047619047,2125.0,180.69727891156464,17,pytorch
GraphSAGE,0.38314428102638987,0.4091453524413539,0.33690528328242886,0.3705965451972766,0.39704687220230694,0.2998688157206682,0.36759298129503915,0.06609531249068823,0.28352941176470586,0.9877049180327869,0.44058500914076776,0.36297071129707115,0.49,0.2409537336146116,0.675337814664929,0.51,0.51,3654.0,304.5,17,pytorch
GAT,0.38368348717689515,0.4772698868711506,0.22649704183547903,0.370545621883538,0.3976716554115216,0.17894114088515312,0.27197384630675947,0.16441718753412715,0.3356294536817102,0.9651639344262295,0.4980613323933733,0.5123779637377964,0.6044444444444445,0.29659967865241454,0.7387709490820129,0.39555555555555555,0.3955555555555556,2797.0,233.08333333333334,17,pytorch
GCN,0.39629170184334117,0.47897121163573686,0.22373973454581686,0.38247660900569624,0.41012735825901225,0.17880791257343925,0.26636207164562486,0.0472632812034135,0.31493728620296463,0.9433060109289617,0.47221747307232004,0.47629009762900976,0.57125,0.2706990726849019,0.7097980542789857,0.42875,0.42874999999999996,3004.0,250.33333333333334,17,pytorch
PI+MLP,0.4412386088569959,0.4885832418080943,0.20816168536063473,0.4277772905375395,0.4523122309289045,0.18465002230830427,0.2278794820941634,0.03955234376462613,0.203559510567297,1.0,0.33826247689463956,0.001394700139470014,0.20444444444444446,0.1645717888309718,0.5006973500697349,0.7955555555555556,0.7955555555555557,5728.0,477.3333333333333,17,pytorch
T-GCN (w=5),0.4461174764398004,0.43546388313107226,0.2839863953768119,0.4342723447339537,0.4555638497773465,0.24589294716715018,0.315607065947513,0.15637812498425774,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326,0.31303652819379646,0.6991052552567806,0.4744897959183674,0.4744897959183674,3332.0,283.3333333333333,17,pytorch
FANET-TopoGNN (concat),0.4471964259445667,0.4782359155542337,0.22493141604472322,0.4351163790993806,0.46107907044991026,0.1839881565514658,0.2658343182794199,0.08800078126114386,0.3132006405856783,0.9351092896174863,0.46923736075407024,0.4766387726638773,0.5698611111111112,0.2659549673547096,0.7058740311406817,0.4301388888888889,0.4301388888888889,3002.0,250.16666666666666,17,pytorch
FANET-TopoGNN,0.49007746413350106,0.5066966141757328,0.17880565956869876,0.4780122419912368,0.5016526062527877,0.12277078702506057,0.22037862503218053,0.07004296878676541,0.24724622945263514,0.9965846994535519,0.39619823489477257,0.22559274755927475,0.3823611111111111,0.202942714111306,0.6110887235064133,0.6176388888888888,0.6176388888888888,4442.0,370.1666666666667,17,pytorch
Kinetic-TopoGuard,0.3164511759871923,0.39099721878161015,0.66784953448505,0.30457123983667994,0.32667094638579036,0.6390307857997307,0.6881839883511945,5.238304527778786,0.4432479000646134,0.997093023255814,0.6136871924854629,0.496690031152648,0.6401388888888889,0.9405039799041398,0.9675741346989785,0.0684107278290973,0.10924321803239334,2585.0,215.41666666666666,27,scikit_learn
Union-Find detection oracle,0.3273611111111111,0.5768055555555556,0.5100061468815797,0.3132986111111111,0.3419513888888889,0.47309739072511114,0.5407532098615866,0.20535269444533494,0.8102224325603408,0.8294573643410853,0.8197270768494135,0.9219236760124611,0.8954166666666666,0.7881947622308085,0.8756905201767732,0.10458333333333333,0.10458333333333333,401.0,33.416666666666664,27,diagnostic_reference
Shallow ML,0.3469585341692084,0.4237590333844846,0.6400185130640581,0.335652039746354,0.35800867601741304,0.6157032454266143,0.6636766535098828,0.028824305554735474,0.28916000560931143,0.999031007751938,0.44850462207721586,0.013045171339563863,0.2956944444444444,0.2772278908160192,0.5060380895457509,0.7043055555555555,0.7043055555555556,5069.0,422.4166666666667,27,scikit_learn
GraphSAGE,0.43690291327734787,0.5139586794576334,0.5633942994038221,0.4253991086098055,0.45030540643922157,0.544747396109399,0.578337926182657,0.04861015622736886,0.3836336336336336,0.9903100775193798,0.553030303030303,0.3605919003115265,0.5411111111111111,0.39356424448076877,0.6754509889154532,0.4588888888888889,0.45888888888888885,3284.0,273.6666666666667,27,pytorch
T-GCN (w=5),0.44172775840002393,0.5482871193459812,0.5254987772121835,0.4307669722857355,0.4557592364180149,0.5035211656240154,0.5461888606993528,0.21351015618620295,0.3235958683021304,0.9985059760956175,0.48878595806923447,0.169770206022187,0.40561224489795916,0.6804724404206064,0.5841380910589022,0.5943877551020408,0.5943877551020408,4191.0,356.3775510204082,27,pytorch
PI+MLP,0.470938929716746,0.7400485065996196,0.3713319579697524,0.45262171578945387,0.4895448166649375,0.35135347170211295,0.3862732658241846,0.05137109383213101,0.3387366310160428,0.9820736434108527,0.503727634194831,0.22955607476635514,0.4452777777777778,0.33307812015935634,0.6058148590886039,0.5547222222222222,0.5547222222222222,3957.0,329.75,27,pytorch
FANET-TopoGNN (concat),0.48380533499850165,0.5453034200578886,0.5367670762888792,0.4720432625460542,0.4982952442461004,0.5194361252569529,0.5509448465970318,0.11623984369180107,0.4239468769454244,0.9898255813953488,0.5936364957140782,0.45950155763239875,0.6115277777777778,0.4397028372432303,0.7246635695138739,0.3884722222222222,0.3884722222222222,2776.0,231.33333333333334,27,pytorch
FANET-TopoGNN,0.5090676995201243,0.6171141154156907,0.4757641976331908,0.4958822468450914,0.5229098704931223,0.46102856436957657,0.4880466059700909,0.16533359371351253,0.3573907009021513,0.998062015503876,0.5263157894736843,0.278816199376947,0.485,0.3571645350720727,0.6384391074404114,0.515,0.515,3704.0,308.6666666666667,27,pytorch
GAT,0.5113942471146583,0.6818273765411788,0.42079055901038753,0.49847859942561223,0.5264202196997486,0.38483824119279986,0.45329679691047503,0.09503593742010708,0.3441275167785235,0.9937015503875969,0.5112163509471586,0.2389018691588785,0.4552777777777778,0.34512607576563503,0.6163017097732377,0.5447222222222222,0.5447222222222221,3909.0,325.75,27,pytorch
GCN,0.5314888935701715,0.6690180573017801,0.43167202093370693,0.5178707946334035,0.5460215737238112,0.4120721205578016,0.44849165603238755,0.1096234375381755,0.41323320478993303,0.9864341085271318,0.5824631669289086,0.43711059190031154,0.5945833333333334,0.43553001614286224,0.7117723502137216,0.40541666666666665,0.40541666666666665,2891.0,240.91666666666666,27,pytorch
STGCN (w=5),0.5345337224148569,0.6316945607630255,0.4533159161790815,0.5216270152998923,0.5475437844450883,0.43221094737554316,0.4712456274007783,0.3763671874139618,0.39611033935304624,0.9940239043824701,0.5664821910032638,0.39718700475435814,0.5670351473922902,0.7034464994839495,0.6956054545684142,0.4329648526077097,0.4329648526077097,3043.0,258.75850340136054,27,pytorch
TGN (w=5),0.5437303950287857,0.7441212076969352,0.3560191175460803,0.5297103299041301,0.5591856053705135,0.32649735568984845,0.3838018368781569,0.17434531241633522,0.3904966757919437,0.9945219123505976,0.5607975287840494,0.38252773375594296,0.5566893424036281,0.7008800614116222,0.6885248230532703,0.4433106575963719,0.44331065759637184,3117.0,265.05102040816325,27,pytorch
