Model,seed_count,MAE_mean,MAE_ci95_low,MAE_ci95_high,R2_mean,R2_ci95_low,R2_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_PR_AUC_mean,Risk_PR_AUC_ci95_low,Risk_PR_AUC_ci95_high,Risk_ROC_AUC_mean,Risk_ROC_AUC_ci95_low,Risk_ROC_AUC_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high,Inference_ms_mean,Inference_ms_ci95_low,Inference_ms_ci95_high,backends
Kinetic-TopoGuard,5,0.3091703940937471,0.2938188729949055,0.32452191519258866,0.47766175803810584,0.2739768227041065,0.6813466933721052,0.5597134847557584,0.5235681620334545,0.5958588074780624,0.8593949647943144,0.8033480650709315,0.9154418645176974,0.9463878826976249,0.9314180554306231,0.9613577099646267,224.55,211.0858833850036,238.01411661499642,5.374642313889328,5.097925105621868,5.651359522156787,scikit_learn
GraphSAGE,5,0.4063573911372158,0.3865475911093925,0.4261671911650391,0.45768740505391037,0.37764536154235184,0.5377294485654689,0.48307227989212126,0.4459214844971588,0.5202230752870837,0.2859103333319788,0.23058965069367368,0.34123101597028394,0.6612579228357305,0.6350600057392762,0.6874558399321847,303.80000000000007,277.15219795180104,330.4478020481991,0.08655234371417457,0.032549434160457344,0.1405552532678918,pytorch
STGCN (w=5),5,0.41355674782442664,0.34783590588089985,0.4792775897679534,0.4139345511379802,0.3371650018290077,0.49070410044695273,0.5020915819666978,0.46268929140344717,0.5414938725299484,0.5902704270787652,0.4401039104080129,0.7404369437495175,0.6876534215349095,0.6527295016833492,0.7225773413864698,277.9931972789116,241.36282129879856,314.6235732590247,0.20495531255164678,0.11838060064808503,0.29153002445520854,pytorch
T-GCN (w=5),5,0.41895218515713734,0.3816889566020495,0.4562154137122252,0.4247918419312371,0.31654398009111046,0.5330397037713637,0.4555719501509641,0.4057621974370915,0.5053817028648366,0.561620081352252,0.4057132550101085,0.7175269076943955,0.6200225071668365,0.549930379673297,0.6901146346603759,344.64285714285717,280.95272185226975,408.3329924334446,0.17350281239032478,0.14851070915148593,0.19849491562916363,pytorch
TGN (w=5),5,0.4191197087198428,0.3565864373740933,0.48165298006559226,0.34103390558597546,0.2031978144140858,0.4788699967578651,0.4671629436982368,0.39592665139430205,0.5383992360021715,0.5736706671860545,0.44529184633335317,0.7020494880387559,0.6236248280411467,0.5172701987223814,0.729979457359912,335.4081632653061,230.3459118775376,440.4704146530746,0.17221468751813518,0.12534049274570358,0.21908888229056678,pytorch
FANET-TopoGNN (concat),5,0.4220140122705035,0.3807216039488116,0.4633064205921954,0.44513823331125285,0.31591285438306627,0.5743636122394394,0.5047320919482227,0.44577344422536685,0.5636907396710784,0.312267406477986,0.22496000749723438,0.39957480545873764,0.6864542237648716,0.6424119325265112,0.7304965150032321,277.26666666666665,228.05133834757936,326.48199498575394,0.09189531247102417,0.07331756297346581,0.11047306196858253,pytorch
GAT,5,0.422184540518456,0.37659049828496827,0.46777858275194373,0.388503870963646,0.29711992750976574,0.4798878144175263,0.465459815638805,0.42030177521311785,0.5106178560644922,0.2688780128254476,0.217903040705953,0.3198529849449422,0.6258212069906539,0.5425597388564525,0.7090826751248553,331.6833333333333,253.48409225005935,409.8825744166072,0.11268968751210191,0.08604599655474472,0.1393333784694591,pytorch
FANET-TopoGNN,5,0.43129609120554396,0.3732089076063086,0.48938327480477933,0.4401451622378779,0.29019556986545697,0.5900947546102988,0.4453802035074558,0.40098859169096385,0.4897718153239477,0.24844341779190543,0.18637017935109731,0.3105166562327135,0.6061142234691387,0.5804848603340343,0.631743586604243,357.9833333333333,328.2037471038371,387.7629195628295,0.11544953124484889,0.05836291774282355,0.17253614474687423,pytorch
GCN,5,0.44762960704333254,0.40302559394042325,0.49223362014624183,0.351210701986899,0.2467822073921305,0.4556391965816675,0.4853983062414004,0.4371166817200938,0.5336799307627069,0.2917001378505322,0.21898788085118648,0.364412394849878,0.6614488052809049,0.6148163959318015,0.7080812146300083,297.9,250.70708384843238,345.0929161515676,0.06385328122178177,0.04089825238584588,0.08680831005771766,pytorch
PI+MLP,5,0.45887709090775913,0.43981592611538034,0.4779382557001379,0.2787583320004292,0.15263446805784872,0.40488219594300967,0.4063921829441795,0.3512106784738557,0.46157368741450333,0.2167050591424632,0.15120777833230797,0.28220233995261845,0.536444285756421,0.4986479670828212,0.5742406044300208,420.9,370.11648047950115,471.6835195204988,0.039635781172364624,0.026693979843145622,0.052577582501583627,pytorch
