Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.316712222461239,0.3274858093321085,0.6263825550184747,0.3069808355197764,0.3268696309287276,0.6004313662153351,0.6492422019361582,5.565401666665112,0.3652081109925293,0.9994158878504672,0.5349382523057684,0.4580903790087463,0.5868055555555556,0.8754070416924952,0.9500148795332553,0.1037653480227114,0.1660792616402585,2974.0,247.83333333333331,7,scikit_learn
T-GCN (w=5),0.3840875503714798,0.4401914274721228,0.4941996719389427,0.3720515292969927,0.3969013650905839,0.4755766321199651,0.5153916532942878,0.1834804686495772,0.243076923076923,1.0,0.391089108910891,0.0428015564202334,0.2678571428571428,0.714593914087863,0.5214007782101167,0.7321428571428571,0.7321428571428571,5166.0,439.2857142857143,7,pytorch
STGCN (w=5),0.3880020216310105,0.4523262161227332,0.4802562380204823,0.3757987402440756,0.3998348687733196,0.4600916732212852,0.5041561182642021,0.1310546875856744,0.2974386724386724,0.9939722724532852,0.4578647785644871,0.2783027607930332,0.4465702947845805,0.7482265472139685,0.6361375166231591,0.5534297052154195,0.5534297052154196,3895.0,331.2074829931973,7,pytorch
FANET-TopoGNN,0.3883180623087618,0.3860526214830234,0.5595656667961599,0.378046115140948,0.4012610609260284,0.5327281947485404,0.5866533497984859,0.2044507812115625,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,0.2018419578854615,0.5597667638483965,0.6711111111111111,0.6711111111111111,4832.0,402.6666666666667,7,pytorch
GraphSAGE,0.3978837053063843,0.4451703351126211,0.4921202737744409,0.3871399793032971,0.4096056143707699,0.4712471881456239,0.5120995976699728,0.0630578124400926,0.3042163316135919,0.9988317757009346,0.4663848356743488,0.2873542274052478,0.4565277777777777,0.2492312608776963,0.6430930015530912,0.5434722222222222,0.5434722222222222,3911.0,325.9166666666667,7,pytorch
FANET-TopoGNN (concat),0.4033069319112433,0.4215416153075143,0.5190774782401026,0.392451927660654,0.4156290545345594,0.4905887471920654,0.5466932435714364,0.1113140624511288,0.3284883720930232,0.990070093457944,0.4933061699650756,0.3686224489795918,0.5163888888888889,0.2875750926651751,0.6793462712187679,0.4836111111111111,0.4836111111111111,3465.0,288.75,7,pytorch
GAT,0.4082119631436136,0.464677676644511,0.4698650099008985,0.3982176599589487,0.422340519450191,0.4464687985622542,0.4925330638075338,0.1095335937861818,0.247041847041847,1.0,0.3962045822726221,0.0491982507288629,0.2752777777777778,0.18796450017009,0.5245991253644315,0.7247222222222223,0.7247222222222223,5218.0,434.8333333333333,7,pytorch
TGN (w=5),0.4102783662324049,0.475136410339959,0.4540462689066701,0.397530887153025,0.4233410769097862,0.4270835526396342,0.480503072611909,0.2594179687775977,0.2351190476190476,1.0,0.380722891566265,0.0,0.2351190476190476,0.7039016268369183,0.5,0.7648809523809523,0.7648809523809523,5397.0,458.9285714285714,7,pytorch
GCN,0.4320739576882786,0.5133054359588497,0.414387249727861,0.4210803112395935,0.4454759720212055,0.3922584858114559,0.434632311510519,0.0617687500152897,0.2917023096663815,0.9959112149532712,0.4512372634643377,0.2456268221574344,0.4240277777777778,0.2358025847600681,0.6207690185553527,0.5759722222222222,0.5759722222222222,4140.0,345.0,7,pytorch
PI+MLP,0.4372188012633058,0.5248173487017254,0.401253699194434,0.4238849853641457,0.4518403419690827,0.3813564613723125,0.4176432159722331,0.0210124999284744,0.2546462829736211,0.9924065420560748,0.4052958015267176,0.0938411078717201,0.3075,0.1950096132080818,0.5431238249638974,0.6925,0.6924999999999999,4973.0,414.4166666666667,7,pytorch
