Model,MAE_mean,MAE_ci95_low,MAE_ci95_high,MSE_mean,MSE_ci95_low,MSE_ci95_high,R2_mean,R2_ci95_low,R2_ci95_high,Inference_ms_mean,Inference_ms_ci95_low,Inference_ms_ci95_high,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,Risk_PR_AUC_mean,Risk_PR_AUC_ci95_low,Risk_PR_AUC_ci95_high,Risk_ROC_AUC_mean,Risk_ROC_AUC_ci95_low,Risk_ROC_AUC_ci95_high,Risk_Brier_mean,Risk_Brier_ci95_low,Risk_Brier_ci95_high,Risk_ECE_mean,Risk_ECE_ci95_low,Risk_ECE_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high
Kinetic-TopoGuard,0.30939984156570777,0.26820686436782826,0.3505928187635873,0.4805372016917486,0.2907623392297983,0.670312064153699,0.4472568923770162,0.05891499189579691,0.8355987928582356,5.55522027083498,5.104526832222473,6.005913709447486,0.39690854535861864,0.34953803289522534,0.44427905782201194,0.9959361922756913,0.9952573744892063,0.9966150100621763,0.5671751000536671,0.5188317420051598,0.6155184581021744,0.5272823124598405,0.504335295828027,0.5502293290916539,0.6386805555555555,0.6085999999999999,0.668761111111111,0.8435111711210321,0.7480613894482441,0.9389609527938202,0.9388315108366092,0.9079539068176644,0.969709114855554,0.09649843073264477,0.08450208800706498,0.10849477345822457,0.12287734678716453,0.10118500995760878,0.1445696836167203,2594.5,2375.96,2813.04,216.20833333333331,197.99666666666664,234.42
FANET-TopoGNN,0.38450861503266626,0.32510238593651186,0.44391484412882065,0.45056476547386787,0.39304636260092435,0.5080831683468113,0.4932951435956703,0.2631230918977558,0.7234671952935847,0.06871015625620203,0.05316949976986507,0.08425081274253898,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,0.24013394094534352,0.15403418840324395,0.3262336934874431,0.6106382612752361,0.5930485046627705,0.6282280178877018,0.5911805555555556,0.5839666666666667,0.5983944444444445,0.5911805555555554,0.5839666666666665,0.5983944444444442,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
TGN (w=5),0.38676795367649897,0.37684598534555935,0.3966899220074386,0.5442322962787958,0.5219851237106055,0.5664794688469861,0.3917651642306796,0.15937824540779424,0.624152083053565,0.13160664070710482,0.10168678123591235,0.16152650017829728,0.2715821310499462,0.22900337641427385,0.3141608856856186,0.9993650793650793,0.9981206349206349,1.0,0.42663168515290906,0.37407798638065937,0.47918538392515875,0.1542601715015508,0.0,0.45661010764459037,0.3562216553287982,0.14774943310657593,0.5646938775510204,0.5521221054753294,0.4466694651149872,0.6575747458356715,0.576812625433315,0.42625987958401745,0.7273653712826126,0.6437783446712018,0.4353061224489796,0.8522505668934239,0.6437783446712019,0.43530612244897987,0.8522505668934239,4541.5,3068.5600000000004,6014.44,386.18197278911566,260.93197278911566,511.43197278911566
FANET-TopoGNN (concat),0.38788068424910305,0.32999605439338414,0.44576531410482195,0.4714127635499181,0.4383963147251745,0.5044292123746618,0.4724575979912796,0.2618502695809165,0.6830649264016427,0.07196093747552368,0.06622181244893,0.07770006250211736,0.32218408459992787,0.21298163440566414,0.4313865347941916,0.9939360529217199,0.982050716648291,1.0,0.48374021665394473,0.36038842994729336,0.6070920033605961,0.328451194029315,0.08573948531080505,0.5711629027478249,0.48506944444444444,0.28485000000000005,0.6852888888888888,0.2840520675634075,0.09252355817960517,0.47558057694720984,0.6611936234755175,0.5457804372529771,0.7766068096980578,0.5149305555555556,0.31471111111111116,0.71515,0.5149305555555557,0.31471111111111116,0.7151500000000002,3696.5,2233.36,5159.639999999999,308.0416666666667,186.1133333333334,429.96999999999997
GAT,0.4038165025785565,0.37245786877837445,0.43517513637873856,0.5334112747961126,0.4707207450028617,0.5961018045893636,0.41268337203573247,0.2856666552704876,0.5397000888009773,0.09723085941004683,0.07665162520424929,0.11781009361584438,0.3024651467269931,0.23843882826960344,0.36649146518438275,0.9797246802714397,0.9453874791822927,1.0,0.4609084062904355,0.38993548953390167,0.5318813230469693,0.26970957046214816,0.0,0.6200261807773904,0.4414583333333333,0.20203888888888893,0.6808777777777777,0.2573499047695492,0.2413728016758573,0.27332700786324116,0.6247171253667939,0.4667274207537462,0.7827068299798416,0.5585416666666667,0.3191222222222222,0.7979611111111112,0.5585416666666666,0.31912222222222225,0.7979611111111109,3988.5,2209.8,5767.2,332.375,184.15,480.6
STGCN (w=5),0.40497570750124057,0.36279651387208167,0.44715490113039946,0.5529962056808659,0.5428503964680248,0.5631420148937071,0.38522288136139277,0.18556365890758295,0.5848821038152026,0.17281953137171513,0.12882824983535102,0.21681081290807924,0.3287827460683946,0.2767764738169934,0.3807890183197958,0.991517345073783,0.9882322376180572,0.9948024525295087,0.4932409300735221,0.4341494824153239,0.5523323777317203,0.37157064200589485,0.3162934608135492,0.4268478231982405,0.5178571428571428,0.45869047619047615,0.5770238095238095,0.5831034550207997,0.421525972469606,0.7446809375719935,0.6815439935398389,0.6522628492158032,0.7108251378638745,0.4821428571428571,0.42297619047619045,0.5413095238095238,0.4821428571428571,0.4229761904761904,0.5413095238095238,3388.0,2974.44,3801.56,288.0952380952381,252.92857142857144,323.2619047619047
GraphSAGE,0.40692802803797856,0.3759776023573346,0.43787845371862255,0.5021335389099448,0.4338848709589467,0.570382206860943,0.44800858440443003,0.33871128791717725,0.5573058808916828,0.12749921870636172,0.0,0.26200881256954744,0.3152533908802764,0.2982375035625227,0.33226927819803004,0.9865058904377217,0.9643793761587214,1.0,0.4776806258075934,0.4607321187893642,0.4946291328258226,0.32590191860745704,0.15730125802544132,0.49450257918947277,0.4845138888888889,0.3793000000000001,0.5897277777777777,0.27290121384340865,0.2378796687680713,0.30792275891874604,0.6562039045225894,0.5829668313710817,0.729440977674097,0.5154861111111111,0.4102722222222222,0.6207,0.5154861111111111,0.41027222222222226,0.6206999999999999,3689.5,2896.6800000000003,4482.32,307.45833333333337,241.39000000000004,373.5266666666667
T-GCN (w=5),0.4114140702871914,0.31697602157014304,0.5058521190042398,0.5280250561613646,0.5090464075911433,0.547003704731586,0.4101371825641238,0.18757264165759166,0.6327017234706559,0.15707265606579313,0.11992299992925837,0.19422231220232788,0.3109454269722989,0.20973621218237556,0.41215464176222216,0.9965628573229254,0.9910705021203036,1.0,0.47154199997917445,0.354393584532746,0.588690415425603,0.2989055539854578,0.06528566178826445,0.5325254461826512,0.4623015873015873,0.26702380952380955,0.6575793650793651,0.5499987620294975,0.3224566024219282,0.7775409216370668,0.6477342056541916,0.5336704371569059,0.7617979741514773,0.5376984126984127,0.3424206349206349,0.7329761904761904,0.5376984126984127,0.3424206349206349,0.7329761904761904,3788.0,2400.32,5175.68,322.10884353741494,204.108843537415,440.1088435374149
GCN,0.4391467410574357,0.4149861969706085,0.46330728514426284,0.588777574728073,0.5684621038773721,0.609093045578774,0.34312725236355524,0.10335746330638423,0.5828970414207262,0.05030546867601515,0.04848021859288565,0.052130718759144656,0.3009806276989082,0.285812320204008,0.31614893519380843,0.9809249005053631,0.9673083780427325,0.9945414229679936,0.460536813870718,0.44427456404688676,0.4767990636945492,0.2839797028511016,0.11566763973750624,0.4522917659646969,0.4511805555555556,0.34515,0.5572111111111111,0.25823450783241453,0.21369344352265865,0.30277557214217043,0.6324523016782324,0.55510453135275,0.7098000720037149,0.5488194444444444,0.4427888888888889,0.6548499999999999,0.5488194444444444,0.4427888888888889,0.6548499999999999,3919.5,3136.48,4702.52,326.625,261.37333333333333,391.87666666666667
PI+MLP,0.472494557350874,0.438688423405091,0.506300691296657,0.7111823527915444,0.6861895892221599,0.7361751163609289,0.20652215873866253,-0.08359967905539928,0.49664399653272434,0.043121484168295865,0.016711249681975463,0.06953171865461627,0.24451226509078203,0.20506778007855084,0.28395675010301324,0.9977266175648849,0.9956995364431128,0.999753698686657,0.39233750105235476,0.3415919617085392,0.4430830403961703,0.03485877709498403,0.0,0.09826969949939832,0.26361111111111113,0.18956666666666672,0.33765555555555554,0.19543288675695308,0.10044241298196732,0.29042336053193885,0.5162926973299345,0.4856007766886135,0.5469846179712556,0.7363888888888889,0.6623444444444444,0.8104333333333333,0.7363888888888889,0.6623444444444444,0.8104333333333333,5298.0,4760.96,5835.04,441.5,396.7466666666667,486.2533333333333
