Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
GCN,0.0,600.0000000000001,500.0000000000001,600.0000000000001,416.9739081111741,4.144273010458504,37
GAT,0.0,600.0000000000001,200.0000000000001,600.0000000000001,465.44242768009076,4.625064503507743,37
tgn:5,0.0,600.0000000000001,100.00000000000011,600.0000000000001,489.75397973950794,4.8655327553021515,37
GraphSAGE,0.0,600.0000000000001,600.0000000000001,600.0000000000001,401.98525241066363,3.988685053005648,37
PI+MLP,0.0,600.0000000000001,200.0000000000001,600.0000000000001,459.6710153148043,4.565542682047054,37
FANET-TopoGNN,0.0,600.0000000000001,600.0000000000001,600.0000000000001,409.3732274532048,4.063929574486395,37
stgcn:5,0.0,500.0,600.0000000000001,600.0000000000001,330.34732272069465,3.285036990352121,37
tgcn:5,0.0,400.0,600.0000000000001,600.0000000000001,311.25904486251807,3.0926799392805204,37
FANET-TopoGNN (concat),0.0,400.0,600.0000000000001,600.0000000000001,309.1747022121384,3.0623706458005544,37
Kinetic-TopoGuard,0.0,0.0,600.0000000000001,600.0000000000001,251.40385706182644,2.4847944477555983,37
