Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.28838301646474884,0.3837132922723862,0.6453905150715159,0.2757034835783944,0.30044938040052505,0.6210697347125603,0.6664188267315497,5.325274638889823,0.4210771741664724,0.9955898566703418,0.5918400786498443,0.538989974006684,0.6540277777777778,0.8922100393214342,0.9545853904381116,0.09037784770938977,0.1339448655777542,2483.0,206.91666666666666,37,scikit_learn
FANET-TopoGNN,0.3541993144734038,0.42121864155910077,0.6107298638497083,0.3411313071087417,0.3665752014461905,0.5923291832415427,0.6265201254917468,0.0766390626267821,0.2972573493184431,0.9977949283351709,0.4580539035809187,0.20553286297809134,0.4051388888888889,0.2840623861198841,0.6016638956566311,0.5948611111111111,0.594861111111111,4279.0,356.5833333333333,37,pytorch
FANET-TopoGNN (concat),0.35834770983291997,0.45456763659851834,0.5799103165679955,0.34448143198113473,0.3718465831718511,0.5593037144838435,0.5997490627083965,0.07488906248909188,0.3778996204133277,0.9878721058434399,0.5466748017083587,0.45228369847753436,0.5872222222222222,0.3817706948000414,0.7200779021604871,0.4127777777777778,0.4127777777777778,2950.0,245.83333333333334,37,pytorch
T-GCN (w=5),0.36323139237033,0.518342072196966,0.5236905197613341,0.34684259200831896,0.376425555202468,0.5061180377076826,0.5459003222810859,0.13811874987368356,0.36258278145695366,0.9937606352807714,0.53131159969674,0.4180993765350463,0.5619331065759637,0.666091700604788,0.7059300059079088,0.43806689342403626,0.4380668934240362,3080.0,261.9047619047619,37,pytorch
STGCN (w=5),0.38345571075166973,0.5581726389527236,0.4870898315929284,0.36586780843859257,0.39653290644152905,0.4710329560583075,0.5091893758150411,0.150374999975611,0.35531655844155846,0.9931934203062961,0.5233896278583171,0.3997732854713773,0.5480442176870748,0.6655409461183476,0.6964833528888367,0.45195578231292516,0.4519557823129251,3177.0,270.1530612244898,37,pytorch
TGN (w=5),0.39183018241677425,0.5328816980297191,0.5103299187321517,0.3754922774297242,0.4046981833638653,0.4931892375045724,0.5315369034770596,0.1468718751311826,0.24985827664399093,1.0,0.39981857353441436,0.0,0.24985827664399093,0.6059244730061162,0.5,0.750141723356009,0.750141723356009,5293.0,450.0850340136054,37,pytorch
GAT,0.4198158055378331,0.5653962389763427,0.477487819364939,0.408291467335903,0.4328641057531867,0.4619672844678121,0.49048772618894193,0.08673125012137461,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,0.2491983215584819,0.5441101332172797,0.6806944444444445,0.6806944444444444,4896.0,408.0,37,pytorch
GraphSAGE,0.4227190615485112,0.5369542878645357,0.5037725111836406,0.41083084399894704,0.4335153352688584,0.48970373847418724,0.518423823240285,0.058871874898613896,0.30657181571815717,0.9977949283351709,0.4690334283493132,0.23988117341255105,0.43083333333333335,0.2907693490859277,0.618838050873861,0.5691666666666667,0.5691666666666666,4094.0,341.1666666666667,37,pytorch
GCN,0.4268199328498708,0.5784125385797563,0.4654587773927241,0.4145085810824401,0.4392503453290297,0.4476532945663921,0.4801754343758789,0.051236718718428165,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,0.28095954064351447,0.5929891535529862,0.6029166666666667,0.6029166666666667,4319.0,359.9166666666667,37,pytorch
PI+MLP,0.4552465298275153,0.6984309428071646,0.3545435045519594,0.43937886202749277,0.47190975068675145,0.34088485582629285,0.36778913588261597,0.02964687473649974,0.2646370023419204,0.9966923925027563,0.4182280823502198,0.06721128852580766,0.3013888888888889,0.2438974141931703,0.531951840514282,0.6986111111111111,0.6986111111111111,5024.0,418.6666666666667,37,pytorch
Kinetic-TopoGuard,0.3304166666666667,0.5773611111111111,0.24912326968251652,0.31374652777777773,0.34529166666666666,0.19724712556485677,0.2990742284167225,5.785165902780136,0.37273991655076494,0.9962825278810409,0.5425101214574899,0.5155746509129968,0.6233333333333333,0.79481230292063,0.9230776312351068,0.10261901375589977,0.11180982799657486,2706.0,225.5,47,scikit_learn
TGN (w=5),0.3817057249362236,0.5555828945278725,0.27320040972920745,0.36802563169198177,0.3974074457698161,0.25591631138609255,0.28909997397639736,0.11634140628302703,0.29330598545590153,0.9987301587301587,0.4534447967714038,0.3085203430031016,0.46258503401360546,0.49831973794454254,0.6536252508666301,0.5374149659863946,0.5374149659863947,3790.0,322.27891156462584,47,pytorch
GAT,0.38781719961927996,0.5014263106158826,0.3478789247065259,0.37547888267164425,0.40139012387125855,0.32941508507362344,0.36645536087627767,0.10773046869871905,0.33513163573586535,0.9622057001239157,0.4971190781049936,0.44844253490870034,0.5636111111111111,0.2655014879806165,0.7053241175163081,0.4363888888888889,0.4363888888888889,3081.0,256.75,47,pytorch
GraphSAGE,0.3911369945274459,0.4673127899553539,0.39224465762521943,0.37892093595531257,0.40187142173676854,0.3709910038569754,0.41270916407283764,0.19612656251410954,0.3239349660423956,0.9752168525402726,0.48632782326587365,0.41192266380236303,0.5381944444444444,0.2550330786008896,0.6935697581713178,0.4618055555555556,0.4618055555555555,3285.0,273.75,47,pytorch
FANET-TopoGNN,0.4148179155919287,0.47991088938863496,0.3758604233416323,0.4018269558687591,0.4264018364383115,0.35933393087995524,0.39379013685043235,0.060781249885621946,0.2755662319835278,0.9950433705080545,0.43160440741736095,0.24418188327962764,0.4125,0.1962054957708029,0.619612626893841,0.5875,0.5874999999999999,4222.0,351.8333333333333,47,pytorch
FANET-TopoGNN (concat),0.4174136586652862,0.48825789050131796,0.3650048794145637,0.40490828866387407,0.42886385210872524,0.3506246815553383,0.3802231457624322,0.06903281246195547,0.266468548786528,1.0,0.4208056315995307,0.2046186895810956,0.3829166666666667,0.18633344032677368,0.6023093447905479,0.6170833333333333,0.6170833333333334,4443.0,370.25,47,pytorch
STGCN (w=5),0.42649570425081146,0.5478197724090081,0.28335593112985713,0.4131863008042092,0.44047179518672985,0.268007300425285,0.29859996054649135,0.19526406276781927,0.3022489336952307,0.9898412698412699,0.46309223228872715,0.34336799854041233,0.48767006802721086,0.5006659639232519,0.6666046341908411,0.5123299319727891,0.5123299319727891,3599.0,306.0374149659864,47,pytorch
GCN,0.45147354926500055,0.5991426108763899,0.22079572733438635,0.4386421332255834,0.46570324397252666,0.20620303087127234,0.23680017588867483,0.04937421863360214,0.3087195600942655,0.9739776951672863,0.46883388010736654,0.3698532044396706,0.5052777777777778,0.23550947502131458,0.6719154498034785,0.49472222222222223,0.49472222222222223,3520.0,293.3333333333333,47,pytorch
T-GCN (w=5),0.45959674820405283,0.5377080401257633,0.2965838453669135,0.4480380320374573,0.47230020932527994,0.2747670689599962,0.3155927837864525,0.1760265622579027,0.25930807248764415,0.9993650793650793,0.41177240026160894,0.17971173143586935,0.36267006802721086,0.43390582345420703,0.5895384054004744,0.6373299319727891,0.6373299319727891,4496.0,382.312925170068,47,pytorch
PI+MLP,0.4897425848742326,0.7239337627759242,0.058500812925365686,0.4755947711339427,0.5051497170258727,0.04681234684319776,0.0691289191641229,0.05659609360009199,0.22438752783964366,0.9987608426270136,0.3664469197544897,0.002506265664160401,0.22583333333333333,0.14696835932073585,0.5006335541455871,0.7741666666666667,0.7741666666666667,5572.0,464.3333333333333,47,pytorch
