Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML (GBR),100.0,600.0000000000001,200.0000000000001,600.0000000000001,484.61538461538464,0.5671727321319832,27
GCN,100.0,600.0000000000001,200.0000000000001,600.0000000000001,473.96449704142015,0.5568547438705537,27
GraphSAGE,100.0,600.0000000000001,200.0000000000001,600.0000000000001,479.2899408284024,0.5634772232345158,27
GAT,100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.06508875739644,0.5625963025915791,27
FANET-TopoGNN (concat),100.0,600.0000000000001,200.0000000000001,600.0000000000001,473.37278106508876,0.5573211118174759,27
tgcn:5,100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.5950920245399,0.5795928018618344,27
PI+MLP,100.0,600.0000000000001,300.00000000000006,600.0000000000001,453.84615384615387,0.5477488318001676,27
FANET-TopoGNN,100.0,600.0000000000001,200.0000000000001,600.0000000000001,481.06508875739644,0.5650843228037548,27
stgcn:5,100.0,600.0000000000001,200.0000000000001,600.0000000000001,485.2760736196319,0.5813884026399281,27
tgn:5,100.0,600.0000000000001,200.0000000000001,600.0000000000001,488.95705521472394,0.5825606897721229,27
Kinetic-TopoGuard,0.0,200.0,600.0000000000001,600.0000000000001,274.5562130177515,0.35332016647012027,27
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,27
