Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,seed,Model_Backend
Current-state persistence baseline,0.15916666666666668,0.22944444444444445,0.5612285129459428,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,0.2254045833251439,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,0.8311558330895801,0.911298245614035,0.06111111111111111,0.061111111111111116,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,deterministic_persistence_baseline
Kinetic-TopoGuard,0.15916666666666668,0.22944444444444445,0.5612285129459427,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,4.943538194444652,0.7378335949764521,0.94,0.8267370272647317,0.9121052631578948,0.9179166666666667,0.9528797153123073,0.9833601169590643,0.06668830897213085,0.16385215014674934,501.0,41.75,113.0,78.0,35.0,169.0,91.0,0.6902654867256637,0.46153846153846156,0.5531914893617021,2.9166666666666656,27,scikit_learn
Shallow ML (GBR),0.22299850969772786,0.22936015587057146,0.5613896997769836,0.12049785724610117,0.31141459682940814,0.32888761949857603,0.6391906961494683,0.02956018055556342,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,0.2523513713476976,0.5019298245614034,0.7886111111111112,0.788611111111111,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,scikit_learn
GraphSAGE,0.2653258239146736,0.22686068801185127,0.5661694852796133,0.1812991735332956,0.35042697631629816,0.4560226995975815,0.6313980755490857,0.1919382812047843,0.2993006993006993,0.9986666666666667,0.4605687932359723,0.38473684210526315,0.5126388888888889,0.3512947656177876,0.6917017543859649,0.48736111111111113,0.48736111111111113,3507.0,292.25,291.0,84.0,207.0,169.0,85.0,0.28865979381443296,0.4970414201183432,0.36521739130434777,17.249999999999996,27,pytorch
PI+MLP,0.2803782331943512,0.3486643419963088,0.3332417693055675,0.15576742954510783,0.4158371792845429,0.1231507634753477,0.42641505583949424,0.031948437936080154,0.30242598684210525,0.9806666666666667,0.46228786926461346,0.4047368421052632,0.5247222222222222,0.3516171221291902,0.6927017543859648,0.4752777777777778,0.4752777777777778,3393.0,282.75,161.0,78.0,83.0,169.0,91.0,0.484472049689441,0.46153846153846156,0.4727272727272728,6.916666666666664,27,pytorch
stgcn:5,0.28335881792431244,0.22911488388259615,0.5594926015291546,0.19669278973836005,0.37119462946831094,0.0431303714535916,0.6685189538524752,0.928872656004387,0.23260278355463126,0.9993127147766323,0.37736828445367243,0.1435457953936797,0.32001133786848074,0.6884363113260695,0.5714292550851561,0.6799886621315193,0.6799886621315192,4797.0,407.90816326530614,201.0,76.0,125.0,163.0,87.0,0.3781094527363184,0.4662576687116564,0.4175824175824176,10.629251700680273,27,pytorch
tgn:5,0.2873366879565375,0.24536160059449294,0.5282558752581639,0.1970105278404966,0.3845752322505695,0.05082281580704994,0.6790868946203722,0.45635390688403277,0.20620748299319727,1.0,0.3419104688050758,0.0,0.20620748299319727,0.6804659548666051,0.5,0.7937925170068028,0.7937925170068028,5601.0,476.2755102040816,139.0,76.0,63.0,163.0,87.0,0.5467625899280576,0.4662576687116564,0.5033112582781456,5.357142857142858,27,pytorch
GCN,0.29421920048693817,0.24035247887313466,0.5403688469004129,0.2162844348464989,0.37797952746041125,0.11043496245646821,0.6179809753329664,0.06488671897386666,0.25951016154247003,0.996,0.41174038859032663,0.2521052631578947,0.40708333333333335,0.29848255602725954,0.6240526315789474,0.5929166666666666,0.5929166666666668,4263.0,355.25,286.0,80.0,206.0,169.0,89.0,0.27972027972027974,0.47337278106508873,0.3516483516483516,17.16666666666666,27,pytorch
tgcn:5,0.2971132324666393,0.2637708413842566,0.49286137521216244,0.2018548988975804,0.39496939165238926,-0.17342875043747152,0.6540184327751439,0.3369453124832944,0.2903225806451613,0.9958762886597938,0.44958113558796153,0.3676129262631673,0.4971655328798186,0.7093919390407653,0.6817446074614806,0.5028344671201814,0.5028344671201815,3542.0,301.1904761904762,166.0,77.0,89.0,163.0,86.0,0.463855421686747,0.4723926380368098,0.46808510638297873,7.568027210884354,27,pytorch
GAT,0.3137379156632556,0.3077922375899546,0.4114023631383241,0.20405523428362277,0.4229663040996012,-0.33614244033115964,0.6345335935750073,0.2877679689845536,0.2905667701863354,0.998,0.45009019843656045,0.3587719298245614,0.49194444444444446,0.33606373981242477,0.6783859649122808,0.5080555555555556,0.5080555555555554,3655.0,304.5833333333333,280.0,82.0,198.0,169.0,87.0,0.29285714285714287,0.48520710059171596,0.36525612472160357,16.499999999999996,27,pytorch
FANET-TopoGNN (concat),0.316439974837833,0.2994515682163112,0.4273524024298001,0.22227230630359715,0.419806722736607,0.2701860956925588,0.4981411740945621,0.08075859386735829,0.2993374824332463,0.994,0.4601141799105076,0.387719298245614,0.5140277777777778,0.3553989153183823,0.690859649122807,0.48597222222222225,0.4859722222222222,3490.0,290.8333333333333,178.0,79.0,99.0,169.0,90.0,0.4438202247191011,0.46745562130177515,0.45533141210374634,8.249999999999998,27,pytorch
FANET-TopoGNN,0.31928232931428485,0.29126565896429046,0.4430064906518767,0.2208219923312879,0.4250695204161522,0.23485722021550517,0.5121673206504564,0.3809984373219777,0.2616512480363065,0.9993333333333333,0.4147184949508922,0.2578947368421053,0.4123611111111111,0.3134834734650829,0.6286140350877193,0.5876388888888889,0.5876388888888889,4230.0,352.5,176.0,80.0,96.0,169.0,89.0,0.45454545454545453,0.47337278106508873,0.46376811594202894,7.999999999999997,27,pytorch
