Model,Threshold,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high,Alert_Events_mean,Alert_Events_ci95_low,Alert_Events_ci95_high,True_Alert_Events_mean,True_Alert_Events_ci95_low,True_Alert_Events_ci95_high,False_Alert_Events_mean,False_Alert_Events_ci95_low,False_Alert_Events_ci95_high,Ground_Truth_Fragmentation_Events_mean,Ground_Truth_Fragmentation_Events_ci95_low,Ground_Truth_Fragmentation_Events_ci95_high,Missed_Fragmentation_Events_mean,Missed_Fragmentation_Events_ci95_low,Missed_Fragmentation_Events_ci95_high,Alert_Event_Precision_mean,Alert_Event_Precision_ci95_low,Alert_Event_Precision_ci95_high,Alert_Event_Recall_mean,Alert_Event_Recall_ci95_low,Alert_Event_Recall_ci95_high,Alert_Event_F1_mean,Alert_Event_F1_ci95_low,Alert_Event_F1_ci95_high,False_Alert_Events_per_minute_mean,False_Alert_Events_per_minute_ci95_low,False_Alert_Events_per_minute_ci95_high
Current-state persistence baseline,0.1,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.2,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.3,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.4,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.5,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.6,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.7,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.8,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current-state persistence baseline,0.9,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANET-TopoGNN,0.1,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.2,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.3,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.4,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.5,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.6,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
FANET-TopoGNN,0.7,0.19295614587770124,0.10805524056855126,0.2778570511868512,0.9982754529223624,0.9969869212567449,0.9995639845879799,0.3189056410647076,0.19740089297280605,0.44041038915660913,0.28552450566410725,0.21569708613306643,0.3553519251951481,0.38958333333333334,0.30819298598197165,0.47097368068469503,4393.333333333333,3806.4130505767125,4980.2536160899535,366.1111111111111,317.2010875480594,415.0211346741628,188.0,170.87568590181394,205.12431409818606,75.0,49.07163715156701,100.92836284843298,113.0,91.85984547517845,134.14015452482155,167.0,125.08470764347058,208.91529235652942,92.0,75.33039492569385,108.66960507430615,0.3970613774692144,0.2755970842169329,0.5185256707214958,0.4429833252854658,0.38861894235216893,0.4973477082187627,0.41665573698821784,0.32242942838002936,0.5108820455964064,9.416666666666663,7.654987122931533,11.178346210401791
