Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML,0.0,600.0000000000001,200.0000000000001,600.0000000000001,448.98505779532,4.471229065393148,7
GCN,0.0,600.0000000000001,500.0000000000001,600.0000000000001,411.573160417254,4.096832434864575,7
GraphSAGE,0.0,600.0000000000001,600.0000000000001,600.0000000000001,397.95601917113055,3.96066102240334,7
GAT,0.0,600.0000000000001,100.00000000000011,600.0000000000001,490.0338314068227,4.881439144760261,7
T-GCN (w=5),0.0,600.0000000000001,100.00000000000011,600.0000000000001,490.3597122302159,4.8843521471482605,7
STGCN (w=5),0.0,600.0000000000001,600.0000000000001,600.0000000000001,385.51079136690646,3.835862938515167,7
PI+MLP,0.0,600.0000000000001,200.0000000000001,600.0000000000001,459.416408232309,4.575264913015125,7
FANET-TopoGNN,0.0,600.0000000000001,200.0000000000001,600.0000000000001,457.6261629546095,4.55736246023813,7
TGN (w=5),0.0,600.0000000000001,100.00000000000011,600.0000000000001,501.8273381294964,4.999028406141067,7
FANET-TopoGNN (concat),0.0,500.0,600.0000000000001,600.0000000000001,360.7132788271779,3.5882336189638138,7
Kinetic-TopoGuard,0.0,400.0,600.0000000000001,600.0000000000001,307.3442345644206,3.054543176336241,7
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,7
PI+MLP,0.0,600.0000000000001,0.0,600.0000000000001,522.7835631860399,5.188959144449679,17
FANET-TopoGNN,0.0,600.0000000000001,400.0000000000001,600.0000000000001,424.331550802139,4.204496168284545,17
Shallow ML,0.0,500.0,600.0000000000001,600.0000000000001,332.690683929074,3.28803035188002,17
GraphSAGE,0.0,500.0,600.0000000000001,600.0000000000001,379.8198705319448,3.761967585175541,17
T-GCN (w=5),0.0,500.0,600.0000000000001,600.0000000000001,338.2716049382716,3.355988128827501,17
GAT,0.0,400.0,600.0000000000001,600.0000000000001,310.7092597804672,3.079376827417734,17
GCN,0.0,400.0,600.0000000000001,600.0000000000001,323.31832254432874,3.208243251786922,17
FANET-TopoGNN (concat),0.0,400.0,600.0000000000001,600.0000000000001,308.17618913594146,3.050921543040879,17
STGCN (w=5),0.0,300.00000000000006,600.0000000000001,600.0000000000001,280.9216192937123,2.78397413449272,17
Kinetic-TopoGuard,0.0,300.00000000000006,600.0000000000001,600.0000000000001,292.0489726991275,2.887249335113512,17
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,17
TGN (w=5),0.0,0.0,600.0000000000001,600.0000000000001,233.01751363766869,2.306713448569044,17
Shallow ML,0.0,600.0000000000001,200.0000000000001,600.0000000000001,460.2873563218391,4.5572649658086855,27
FANET-TopoGNN,0.0,600.0000000000001,600.0000000000001,600.0000000000001,352.2557471264368,3.4760360095797287,27
PI+MLP,0.0,600.0000000000001,600.0000000000001,600.0000000000001,365.6034482758621,3.609495605539325,27
GAT,0.0,600.0000000000001,600.0000000000001,600.0000000000001,381.2931034482759,3.772814861315477,27
T-GCN (w=5),0.0,600.0000000000001,600.0000000000001,600.0000000000001,406.7615136403637,4.02064627006892,27
GraphSAGE,0.0,500.0,600.0000000000001,600.0000000000001,334.66954022988506,3.300982311681204,27
TGN (w=5),0.0,400.0,600.0000000000001,600.0000000000001,304.8841302434732,3.011325884068249,27
STGCN (w=5),0.0,400.0,600.0000000000001,600.0000000000001,299.5893223819302,2.958690803490155,27
GCN,0.0,200.0,600.0000000000001,600.0000000000001,284.7413793103448,2.814502571753187,27
FANET-TopoGNN (concat),0.0,100.0,600.0000000000001,600.0000000000001,275.2155172413793,2.7077344595971446,27
Kinetic-TopoGuard,0.0,0.0,600.0000000000001,600.0000000000001,263.9080459770115,2.5953824916417285,27
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,27
