Model,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high
Union-Find detection oracle,0.7244219882135879,0.6326010411966484,0.8162429352305275,0.7379599212018929,0.6401962555255273,0.8357235868782585,0.7311252087425317,0.6363808319791757,0.8258695855058877,0.9134501297320802,0.9051459104652522,0.9217543489989082,0.8731018518518519,0.8507949427712606,0.8954087609324431
Kinetic-TopoGuard,0.38551404515301885,0.32811148052130257,0.4429166097847351,0.9967871233742249,0.993625074512799,0.9999491722356508,0.5547390745571527,0.4959419932441531,0.6135361558701522,0.4932368917181402,0.4552675598109568,0.5312062236253237,0.6157407407407408,0.5852387566702588,0.6462427248112228
FANET-TopoGNN (concat),0.35521196320804194,0.28729864710418634,0.42312527931189753,0.9716683214902598,0.9358402031517375,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.4349209264252893,0.3692288807517525,0.500612972098826,0.565925925925926,0.5119580658504623,0.6198937860013898
STGCN (w=5),0.34402542664984903,0.2879372629453584,0.4001135903543397,0.9804290157746927,0.9538336173493637,1.0,0.5079920165621484,0.4459918577182188,0.569992175406078,0.40302373128855384,0.25847301126899314,0.5475744513081146,0.543745275888133,0.44430415069351065,0.6431864010827555
GCN,0.3399576002197597,0.2669540531361838,0.41296114730333555,0.9752171114697882,0.9434878523900857,1.0,0.5019726344885221,0.4222037113288803,0.5817415576481639,0.3863425038955852,0.24667073591769936,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432
TGN (w=5),0.3357813249310035,0.23700761889035366,0.4345550309716533,0.9743475966386871,0.9293305808282027,1.0,0.49418378272845537,0.3824310635673479,0.6059365018895628,0.3353183295873818,0.0,0.6910766538602546,0.49211073318216175,0.23007855484741363,0.7541429115169098
GraphSAGE,0.32379312567064383,0.26399275844081366,0.383593492900474,0.9922822570843671,0.9856966512929177,0.9988678628758165,0.48666671594847316,0.4200122862414557,0.5533211456554906,0.3369722796712818,0.2883279644994487,0.3856165948431149,0.49587962962962956,0.44767647753620193,0.5440827817230571
GAT,0.30893293916736025,0.24808938330962207,0.3697764950250984,0.9862884949379422,0.9652819361439543,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.003332521659472787,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099
FANET-TopoGNN,0.2887502074287756,0.22099310851199006,0.35650730634556116,0.998215571652476,0.9962773327912406,1.0,0.4457475688463331,0.3660976365212797,0.5253975011713865,0.20798082487767156,0.11622032283673915,0.29974132691860395,0.39875,0.3089734663292106,0.4885265336707894
T-GCN (w=5),0.2873613611356554,0.24112548907337167,0.33359723319793916,0.995727516919818,0.9887660793143442,1.0,0.44492525026549057,0.38879026012697915,0.501060240404002,0.20736856609738194,0.0,0.4181130398531542,0.3996598639455782,0.2537622590608128,0.5455574688303435
Shallow ML,0.28727432488031795,0.27628933459155364,0.2982593151690823,0.9721992605551417,0.9275659379641348,1.0,0.4432509082080065,0.4328648921624905,0.4536369242535225,0.21417638420628857,0.0,0.4550332865748948,0.4048611111111111,0.2667249403340307,0.5429972818881915
PI+MLP,0.26564747485232026,0.18840769746689057,0.34288725223774996,0.9914933951556426,0.9813112034504866,1.0,0.41576197087206274,0.3215810639189731,0.5099428778251524,0.1082639609258484,0.0,0.23812988518644618,0.31907407407407407,0.18233852619105395,0.4558096219570942
